Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453413130 , Gap_End_2 : 1453413144, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512615, Lon2 : 48.369633 , Lat2 : -4.515003 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453419414 , Gap_End_2 : 1453424635, GeoHash : gbsg1m, Lon1 : 48.36964 , Lat1 : -4.514985, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453424635 , Gap_End_2 : 1453424652, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369633 , Lat2 : -4.5149965 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1453419411 , Gap_End_2 : 1453424746, GeoHash : gbsg1x, Lon1 : 48.3795 , Lat1 : -4.4971066, Lon2 : 48.38217 , Lat2 : -4.4970865 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1453424661 , Gap_End_2 : 1453424746, GeoHash : gbsg1x, Lon1 : 48.37956 , Lat1 : -4.49706, Lon2 : 48.38217 , Lat2 : -4.4970865 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453424746 , Gap_End_2 : 1453431512, GeoHash : gbsg1x, Lon1 : 48.38217 , Lat1 : -4.4970865, Lon2 : 48.379528 , Lat2 : -4.497103 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453424652 , Gap_End_2 : 1453431515, GeoHash : gbsg1m, Lon1 : 48.369633 , Lat1 : -4.5149965, Lon2 : 48.370846 , Lat2 : -4.512585 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453431513 , Gap_End_2 : 1453431515, GeoHash : gbsg1m, Lon1 : 48.369614 , Lat1 : -4.514985, Lon2 : 48.370846 , Lat2 : -4.512585 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1453431512 , Gap_End_2 : 1453437975, GeoHash : gbsg1x, Lon1 : 48.379528 , Lat1 : -4.497103, Lon2 : 48.38218 , Lat2 : -4.497065 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453431515 , Gap_End_2 : 1453437984, GeoHash : gbsg1m, Lon1 : 48.370846 , Lat1 : -4.512585, Lon2 : 48.369625 , Lat2 : -4.5150285 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453437977 , Gap_End_2 : 1453437984, GeoHash : gbsg1m, Lon1 : 48.370846 , Lat1 : -4.5125933, Lon2 : 48.369625 , Lat2 : -4.5150285 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453437975 , Gap_End_2 : 1453437992, GeoHash : gbsg1x, Lon1 : 48.38218 , Lat1 : -4.497065, Lon2 : 48.37953 , Lat2 : -4.4970784 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453437984 , Gap_End_2 : 1453443909, GeoHash : gbsg1m, Lon1 : 48.369625 , Lat1 : -4.5150285, Lon2 : 48.370842 , Lat2 : -4.5125985 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453443909 , Gap_End_2 : 1453443913, GeoHash : gbsg1m, Lon1 : 48.370842 , Lat1 : -4.5125985, Lon2 : 48.369625 , Lat2 : -4.5150285 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1453437992 , Gap_End_2 : 1453443916, GeoHash : gbsg1x, Lon1 : 48.37953 , Lat1 : -4.4970784, Lon2 : 48.38216 , Lat2 : -4.497043 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453449079 , Gap_End_2 : 1453449092, GeoHash : gbsg1m, Lon1 : 48.370846 , Lat1 : -4.5125985, Lon2 : 48.36965 , Lat2 : -4.5150084 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1453449075 , Gap_End_2 : 1453449095, GeoHash : gbsg1x, Lon1 : 48.38364 , Lat1 : -4.495365, Lon2 : 48.382423 , Lat2 : -4.496657 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1453449095 , Gap_End_2 : 1453449114, GeoHash : gbsg1x, Lon1 : 48.382423 , Lat1 : -4.496657, Lon2 : 48.383648 , Lat2 : -4.495465 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227580520 , Gap_End_1 : 1453449114 , Gap_End_2 : 1453449123, GeoHash : gbsg1x, Lon1 : 48.383648 , Lat1 : -4.495465, Lon2 : 48.37953 , Lat2 : -4.497043 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1453456355 , Gap_End_2 : 1453456356, GeoHash : gbsg1x, Lon1 : 48.382473 , Lat1 : -4.49666, Lon2 : 48.38362 , Lat2 : -4.4953165 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1453456356 , Gap_End_2 : 1453456363, GeoHash : gbsg1x, Lon1 : 48.38362 , Lat1 : -4.4953165, Lon2 : 48.383667 , Lat2 : -4.495458 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227580520 , Gap_End_1 : 1453456363 , Gap_End_2 : 1453456373, GeoHash : gbsg1x, Lon1 : 48.383667 , Lat1 : -4.495458, Lon2 : 48.37956 , Lat2 : -4.4970565 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453456357 , Gap_End_2 : 1453456374, GeoHash : gbsg1m, Lon1 : 48.37083 , Lat1 : -4.512602, Lon2 : 48.369625 , Lat2 : -4.5149984 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453463713 , Gap_End_2 : 1453463714, GeoHash : gbsg1m, Lon1 : 48.37082 , Lat1 : -4.51259, Lon2 : 48.36962 , Lat2 : -4.514985 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453463715 , Gap_End_2 : 1453463724, GeoHash : gbsg1x, Lon1 : 48.383625 , Lat1 : -4.495332, Lon2 : 48.379543 , Lat2 : -4.497055 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227635210 , Gap_End_1 : 1453463724 , Gap_End_2 : 1453463734, GeoHash : gbsg1x, Lon1 : 48.379543 , Lat1 : -4.497055, Lon2 : 48.383675 , Lat2 : -4.495465 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453463714 , Gap_End_2 : 1453471989, GeoHash : gbsg1m, Lon1 : 48.36962 , Lat1 : -4.514985, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227705102 , Gap_End_1 : 1453463734 , Gap_End_2 : 1453471992, GeoHash : gbsg1x, Lon1 : 48.383675 , Lat1 : -4.495465, Lon2 : 48.38241 , Lat2 : -4.496575 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453471989 , Gap_End_2 : 1453471994, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.36964 , Lat2 : -4.515025 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1453471992 , Gap_End_2 : 1453472002, GeoHash : gbsg1x, Lon1 : 48.38241 , Lat1 : -4.496575, Lon2 : 48.38366 , Lat2 : -4.495455 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1453472002 , Gap_End_2 : 1453472016, GeoHash : gbsg1x, Lon1 : 48.38366 , Lat1 : -4.495455, Lon2 : 48.383663 , Lat2 : -4.4953218 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453471994 , Gap_End_2 : 1453480983, GeoHash : gbsg1m, Lon1 : 48.36964 , Lat1 : -4.515025, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453480983 , Gap_End_2 : 1453480994, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.3696 , Lat2 : -4.514985 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453463729 , Gap_End_2 : 1453481001, GeoHash : gbsg1z, Lon1 : 48.381306 , Lat1 : -4.485077, Lon2 : 48.38076 , Lat2 : -4.485915 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453471988 , Gap_End_2 : 1453481001, GeoHash : gbsg1z, Lon1 : 48.38132 , Lat1 : -4.4850783, Lon2 : 48.38076 , Lat2 : -4.485915 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453480989 , Gap_End_2 : 1453481001, GeoHash : gbsg1z, Lon1 : 48.381313 , Lat1 : -4.48509, Lon2 : 48.38076 , Lat2 : -4.485915 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1453472016 , Gap_End_2 : 1453481012, GeoHash : gbsg1x, Lon1 : 48.383663 , Lat1 : -4.4953218, Lon2 : 48.382275 , Lat2 : -4.496188 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1453480985 , Gap_End_2 : 1453481012, GeoHash : gbsg1x, Lon1 : 48.38364 , Lat1 : -4.4953165, Lon2 : 48.382275 , Lat2 : -4.496188 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227580520 , Gap_End_1 : 1453481012 , Gap_End_2 : 1453481026, GeoHash : gbsg1x, Lon1 : 48.382275 , Lat1 : -4.496188, Lon2 : 48.37954 , Lat2 : -4.497073 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1453481026 , Gap_End_2 : 1453481027, GeoHash : gbsg1x, Lon1 : 48.37954 , Lat1 : -4.497073, Lon2 : 48.38244 , Lat2 : -4.49668 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 228051000 , Gap_End_1 : 1453481001 , Gap_End_2 : 1453489879, GeoHash : gbsg1z, Lon1 : 48.38076 , Lat1 : -4.485915, Lon2 : 48.381275 , Lat2 : -4.4850483 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453480994 , Gap_End_2 : 1453489881, GeoHash : gbsg1m, Lon1 : 48.3696 , Lat1 : -4.514985, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1453481027 , Gap_End_2 : 1453489886, GeoHash : gbsg1x, Lon1 : 48.38244 , Lat1 : -4.49668, Lon2 : 48.383595 , Lat2 : -4.495375 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453489879 , Gap_End_2 : 1453489891, GeoHash : gbsg1z, Lon1 : 48.381275 , Lat1 : -4.4850483, Lon2 : 48.38072 , Lat2 : -4.485915 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453489881 , Gap_End_2 : 1453489893, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369644 , Lat2 : -4.51497 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1453489886 , Gap_End_2 : 1453489896, GeoHash : gbsg1x, Lon1 : 48.383595 , Lat1 : -4.495375, Lon2 : 48.38248 , Lat2 : -4.496683 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1453489896 , Gap_End_2 : 1453489918, GeoHash : gbsg1x, Lon1 : 48.38248 , Lat1 : -4.496683, Lon2 : 48.379547 , Lat2 : -4.49702 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1453489918 , Gap_End_2 : 1453502187, GeoHash : gbsg1x, Lon1 : 48.379547 , Lat1 : -4.49702, Lon2 : 48.382538 , Lat2 : -4.4967217 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453489893 , Gap_End_2 : 1453502188, GeoHash : gbsg1m, Lon1 : 48.369644 , Lat1 : -4.51497, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1453502187 , Gap_End_2 : 1453502195, GeoHash : gbsg1x, Lon1 : 48.382538 , Lat1 : -4.4967217, Lon2 : 48.38368 , Lat2 : -4.4952984 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453502188 , Gap_End_2 : 1453502203, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.36961 , Lat2 : -4.515 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 228051000 , Gap_End_1 : 1453489891 , Gap_End_2 : 1453502209, GeoHash : gbsg1z, Lon1 : 48.38072 , Lat1 : -4.485915, Lon2 : 48.381363 , Lat2 : -4.48511 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 228051000 , Gap_End_1 : 1453502201 , Gap_End_2 : 1453502209, GeoHash : gbsg1z, Lon1 : 48.38078 , Lat1 : -4.485892, Lon2 : 48.381363 , Lat2 : -4.48511 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453502195 , Gap_End_2 : 1453502416, GeoHash : gbsg1x, Lon1 : 48.38368 , Lat1 : -4.4952984, Lon2 : 48.37956 , Lat2 : -4.49705 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453502203 , Gap_End_2 : 1453516914, GeoHash : gbsg1m, Lon1 : 48.36961 , Lat1 : -4.515, Lon2 : 48.37083 , Lat2 : -4.5125985 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453516912 , Gap_End_2 : 1453516914, GeoHash : gbsg1m, Lon1 : 48.369625 , Lat1 : -4.514995, Lon2 : 48.37083 , Lat2 : -4.5125985 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1453502416 , Gap_End_2 : 1453516915, GeoHash : gbsg1x, Lon1 : 48.37956 , Lat1 : -4.49705, Lon2 : 48.38368 , Lat2 : -4.4953785 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453516915 , Gap_End_2 : 1453516917, GeoHash : gbsg1x, Lon1 : 48.38368 , Lat1 : -4.4953785, Lon2 : 48.379524 , Lat2 : -4.497083 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453502209 , Gap_End_2 : 1453516931, GeoHash : gbsg1z, Lon1 : 48.381363 , Lat1 : -4.48511, Lon2 : 48.38075 , Lat2 : -4.48593 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453516919 , Gap_End_2 : 1453516931, GeoHash : gbsg1z, Lon1 : 48.381313 , Lat1 : -4.4850984, Lon2 : 48.38075 , Lat2 : -4.48593 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1453516917 , Gap_End_2 : 1453516938, GeoHash : gbsg1x, Lon1 : 48.379524 , Lat1 : -4.497083, Lon2 : 48.382465 , Lat2 : -4.496693 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 228051000 , Gap_End_1 : 1453516931 , Gap_End_2 : 1453532658, GeoHash : gbsg1z, Lon1 : 48.38075 , Lat1 : -4.48593, Lon2 : 48.381325 , Lat2 : -4.48509 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453516914 , Gap_End_2 : 1453532663, GeoHash : gbsg1m, Lon1 : 48.37083 , Lat1 : -4.5125985, Lon2 : 48.369633 , Lat2 : -4.51502 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453532660 , Gap_End_2 : 1453532663, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369633 , Lat2 : -4.51502 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1453516938 , Gap_End_2 : 1453532666, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.496693, Lon2 : 48.37953 , Lat2 : -4.497063 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1453532666 , Gap_End_2 : 1453532668, GeoHash : gbsg1x, Lon1 : 48.37953 , Lat1 : -4.497063, Lon2 : 48.38247 , Lat2 : -4.49669 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453532658 , Gap_End_2 : 1453532692, GeoHash : gbsg1z, Lon1 : 48.381325 , Lat1 : -4.48509, Lon2 : 48.380753 , Lat2 : -4.485975 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1453532668 , Gap_End_2 : 1453532715, GeoHash : gbsg1x, Lon1 : 48.38247 , Lat1 : -4.49669, Lon2 : 48.383614 , Lat2 : -4.4953184 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1453532715 , Gap_End_2 : 1453546878, GeoHash : gbsg1x, Lon1 : 48.383614 , Lat1 : -4.4953184, Lon2 : 48.382458 , Lat2 : -4.4966235 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453532663 , Gap_End_2 : 1453546881, GeoHash : gbsg1m, Lon1 : 48.369633 , Lat1 : -4.51502, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 228051000 , Gap_End_1 : 1453532692 , Gap_End_2 : 1453546888, GeoHash : gbsg1z, Lon1 : 48.380753 , Lat1 : -4.485975, Lon2 : 48.38136 , Lat2 : -4.4851065 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453546881 , Gap_End_2 : 1453546893, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369648 , Lat2 : -4.514993 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453546888 , Gap_End_2 : 1453546901, GeoHash : gbsg1z, Lon1 : 48.38136 , Lat1 : -4.4851065, Lon2 : 48.38074 , Lat2 : -4.4859185 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1453546878 , Gap_End_2 : 1453546915, GeoHash : gbsg1x, Lon1 : 48.382458 , Lat1 : -4.4966235, Lon2 : 48.383705 , Lat2 : -4.4953284 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453546893 , Gap_End_2 : 1453561012, GeoHash : gbsg1m, Lon1 : 48.369648 , Lat1 : -4.514993, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 228051000 , Gap_End_1 : 1453546901 , Gap_End_2 : 1453561027, GeoHash : gbsg1z, Lon1 : 48.38074 , Lat1 : -4.4859185, Lon2 : 48.381344 , Lat2 : -4.4850883 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 228051000 , Gap_End_1 : 1453561022 , Gap_End_2 : 1453561027, GeoHash : gbsg1z, Lon1 : 48.38078 , Lat1 : -4.485892, Lon2 : 48.381344 , Lat2 : -4.4850883 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453561012 , Gap_End_2 : 1453561033, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369633 , Lat2 : -4.515013 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453546915 , Gap_End_2 : 1453561037, GeoHash : gbsg1x, Lon1 : 48.383705 , Lat1 : -4.4953284, Lon2 : 48.37955 , Lat2 : -4.4970365 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453561015 , Gap_End_2 : 1453561037, GeoHash : gbsg1x, Lon1 : 48.383694 , Lat1 : -4.495362, Lon2 : 48.37955 , Lat2 : -4.4970365 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1453561037 , Gap_End_2 : 1453561227, GeoHash : gbsg1x, Lon1 : 48.37955 , Lat1 : -4.4970365, Lon2 : 48.382465 , Lat2 : -4.4966984 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1453561033 , Gap_End_2 : 1453575639, GeoHash : gbsg1m, Lon1 : 48.369633 , Lat1 : -4.515013, Lon2 : 48.370834 , Lat2 : -4.51259 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227003050 , Gap_End_1 : 1453561027 , Gap_End_2 : 1453575642, GeoHash : gbsg1z, Lon1 : 48.381344 , Lat1 : -4.4850883, Lon2 : 48.38074 , Lat2 : -4.4859085 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1453575639 , Gap_End_2 : 1453575644, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.51259, Lon2 : 48.369625 , Lat2 : -4.514983 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1453561227 , Gap_End_2 : 1453575655, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.4966984, Lon2 : 48.383667 , Lat2 : -4.495352 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1453575647 , Gap_End_2 : 1453575655, GeoHash : gbsg1x, Lon1 : 48.382454 , Lat1 : -4.4966884, Lon2 : 48.383667 , Lat2 : -4.495352 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1453575655 , Gap_End_2 : 1453575676, GeoHash : gbsg1x, Lon1 : 48.383667 , Lat1 : -4.495352, Lon2 : 48.37954 , Lat2 : -4.49706 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1453575676 , Gap_End_2 : 1453595865, GeoHash : gbsg1x, Lon1 : 48.37954 , Lat1 : -4.49706, Lon2 : 48.383675 , Lat2 : -4.495332 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1453595865 , Gap_End_2 : 1453595866, GeoHash : gbsg1x, Lon1 : 48.383675 , Lat1 : -4.495332, Lon2 : 48.382465 , Lat2 : -4.4966984 }
