Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1456187628 , Gap_End_2 : 1456187629, GeoHash : gbsg1m, Lon1 : 48.36989 , Lat1 : -4.5147233, Lon2 : 48.37084 , Lat2 : -4.5125885 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456198250 , Gap_End_2 : 1456198259, GeoHash : gbsg1x, Lon1 : 48.3825 , Lat1 : -4.496683, Lon2 : 48.382435 , Lat2 : -4.496578 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1456198258 , Gap_End_2 : 1456198260, GeoHash : gbsg1m, Lon1 : 48.369907 , Lat1 : -4.514745, Lon2 : 48.370846 , Lat2 : -4.51258 }
Suspicious RendezVous : { Vessel_1 : 250000870, Vessel_2 : 227941000 , Gap_End_1 : 1456192986 , Gap_End_2 : 1456198270, GeoHash : gbscts, Lon1 : 48.0991 , Lat1 : -4.3265815, Lon2 : 48.10009 , Lat2 : -4.327225 }
Suspicious RendezVous : { Vessel_1 : 250000870, Vessel_2 : 227941000 , Gap_End_1 : 1456198256 , Gap_End_2 : 1456198270, GeoHash : gbscts, Lon1 : 48.099068 , Lat1 : -4.326615, Lon2 : 48.10009 , Lat2 : -4.327225 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 250000870 , Gap_End_1 : 1456198270 , Gap_End_2 : 1456204647, GeoHash : gbscts, Lon1 : 48.10009 , Lat1 : -4.327225, Lon2 : 48.099083 , Lat2 : -4.326615 }
Suspicious RendezVous : { Vessel_1 : 250000870, Vessel_2 : 227941000 , Gap_End_1 : 1456204647 , Gap_End_2 : 1456204661, GeoHash : gbscts, Lon1 : 48.099083 , Lat1 : -4.326615, Lon2 : 48.100086 , Lat2 : -4.3272166 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456198259 , Gap_End_2 : 1456204671, GeoHash : gbsg1x, Lon1 : 48.382435 , Lat1 : -4.496578, Lon2 : 48.382446 , Lat2 : -4.4966717 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456204649 , Gap_End_2 : 1456204671, GeoHash : gbsg1x, Lon1 : 48.3824 , Lat1 : -4.4966083, Lon2 : 48.382446 , Lat2 : -4.4966717 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1456198260 , Gap_End_2 : 1456204698, GeoHash : gbsg1m, Lon1 : 48.370846 , Lat1 : -4.51258, Lon2 : 48.369907 , Lat2 : -4.514712 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1456204650 , Gap_End_2 : 1456204698, GeoHash : gbsg1m, Lon1 : 48.37084 , Lat1 : -4.5125933, Lon2 : 48.369907 , Lat2 : -4.514712 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 250000870 , Gap_End_1 : 1456204661 , Gap_End_2 : 1456210655, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.3272166, Lon2 : 48.0991 , Lat2 : -4.326615 }
Suspicious RendezVous : { Vessel_1 : 250000870, Vessel_2 : 227941000 , Gap_End_1 : 1456210655 , Gap_End_2 : 1456210671, GeoHash : gbscts, Lon1 : 48.0991 , Lat1 : -4.326615, Lon2 : 48.100094 , Lat2 : -4.32722 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1456204698 , Gap_End_2 : 1456210679, GeoHash : gbsg1m, Lon1 : 48.369907 , Lat1 : -4.514712, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1456210658 , Gap_End_2 : 1456210679, GeoHash : gbsg1m, Lon1 : 48.369884 , Lat1 : -4.5147514, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456210654 , Gap_End_2 : 1456210726, GeoHash : gbsfc2, Lon1 : 48.296566 , Lat1 : -4.5123615, Lon2 : 48.296387 , Lat2 : -4.512543 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 250000870 , Gap_End_1 : 1456210671 , Gap_End_2 : 1456216247, GeoHash : gbscts, Lon1 : 48.100094 , Lat1 : -4.32722, Lon2 : 48.099083 , Lat2 : -4.326598 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 250000870 , Gap_End_1 : 1456216241 , Gap_End_2 : 1456216247, GeoHash : gbscts, Lon1 : 48.100094 , Lat1 : -4.32722, Lon2 : 48.099083 , Lat2 : -4.326598 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456204671 , Gap_End_2 : 1456226614, GeoHash : gbsg1x, Lon1 : 48.382446 , Lat1 : -4.4966717, Lon2 : 48.37924 , Lat2 : -4.495623 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456216628 , Gap_End_2 : 1456226614, GeoHash : gbsg1x, Lon1 : 48.382473 , Lat1 : -4.496713, Lon2 : 48.37924 , Lat2 : -4.495623 }
Suspicious RendezVous : { Vessel_1 : 250000870, Vessel_2 : 227941000 , Gap_End_1 : 1456216247 , Gap_End_2 : 1456226621, GeoHash : gbscts, Lon1 : 48.099083 , Lat1 : -4.326598, Lon2 : 48.100094 , Lat2 : -4.3272285 }
Suspicious RendezVous : { Vessel_1 : 250000870, Vessel_2 : 227941000 , Gap_End_1 : 1456226616 , Gap_End_2 : 1456226621, GeoHash : gbscts, Lon1 : 48.0991 , Lat1 : -4.326598, Lon2 : 48.100094 , Lat2 : -4.3272285 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456226614 , Gap_End_2 : 1456238332, GeoHash : gbsg1x, Lon1 : 48.37924 , Lat1 : -4.495623, Lon2 : 48.382427 , Lat2 : -4.49661 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456238323 , Gap_End_2 : 1456238332, GeoHash : gbsg1x, Lon1 : 48.382473 , Lat1 : -4.4966865, Lon2 : 48.382427 , Lat2 : -4.49661 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1456238332 , Gap_End_2 : 1456239124, GeoHash : gbsg1x, Lon1 : 48.382427 , Lat1 : -4.49661, Lon2 : 48.383053 , Lat2 : -4.4957166 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1456239124 , Gap_End_2 : 1456249438, GeoHash : gbsg1x, Lon1 : 48.383053 , Lat1 : -4.4957166, Lon2 : 48.382385 , Lat2 : -4.496548 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456249438 , Gap_End_2 : 1456249500, GeoHash : gbsg1x, Lon1 : 48.382385 , Lat1 : -4.496548, Lon2 : 48.38246 , Lat2 : -4.49669 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456249500 , Gap_End_2 : 1456259368, GeoHash : gbsg1x, Lon1 : 48.38246 , Lat1 : -4.49669, Lon2 : 48.382393 , Lat2 : -4.4965367 }
Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 227318020 , Gap_End_1 : 1456259369 , Gap_End_2 : 1456259449, GeoHash : gbscte, Lon1 : 48.098 , Lat1 : -4.324065, Lon2 : 48.09806 , Lat2 : -4.3243117 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456259368 , Gap_End_2 : 1456259581, GeoHash : gbsg1x, Lon1 : 48.382393 , Lat1 : -4.4965367, Lon2 : 48.382523 , Lat2 : -4.496665 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456259581 , Gap_End_2 : 1456276857, GeoHash : gbsg1x, Lon1 : 48.382523 , Lat1 : -4.496665, Lon2 : 48.3824 , Lat2 : -4.496615 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456276857 , Gap_End_2 : 1456276930, GeoHash : gbsg1x, Lon1 : 48.3824 , Lat1 : -4.496615, Lon2 : 48.38244 , Lat2 : -4.496705 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456276930 , Gap_End_2 : 1456286517, GeoHash : gbsg1x, Lon1 : 48.38244 , Lat1 : -4.496705, Lon2 : 48.382412 , Lat2 : -4.4965816 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456286490 , Gap_End_2 : 1456286517, GeoHash : gbsg1x, Lon1 : 48.382458 , Lat1 : -4.49668, Lon2 : 48.382412 , Lat2 : -4.4965816 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456286517 , Gap_End_2 : 1456292176, GeoHash : gbsg1x, Lon1 : 48.382412 , Lat1 : -4.4965816, Lon2 : 48.38368 , Lat2 : -4.49534 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227705102 , Gap_End_1 : 1456292176 , Gap_End_2 : 1456292189, GeoHash : gbsg1x, Lon1 : 48.38368 , Lat1 : -4.49534, Lon2 : 48.38245 , Lat2 : -4.4966536 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456292189 , Gap_End_2 : 1456292257, GeoHash : gbsg1x, Lon1 : 48.38245 , Lat1 : -4.4966536, Lon2 : 48.382393 , Lat2 : -4.4966116 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1456249435 , Gap_End_2 : 1456297182, GeoHash : gbsfc8, Lon1 : 48.297794 , Lat1 : -4.4960084, Lon2 : 48.297012 , Lat2 : -4.50017 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227005550 , Gap_End_1 : 1456259371 , Gap_End_2 : 1456297197, GeoHash : gbsg1z, Lon1 : 48.38114 , Lat1 : -4.485708, Lon2 : 48.380703 , Lat2 : -4.487282 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227005550 , Gap_End_1 : 1456276860 , Gap_End_2 : 1456297197, GeoHash : gbsg1z, Lon1 : 48.381115 , Lat1 : -4.48573, Lon2 : 48.380703 , Lat2 : -4.487282 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227005550 , Gap_End_1 : 1456286492 , Gap_End_2 : 1456297197, GeoHash : gbsg1z, Lon1 : 48.3811 , Lat1 : -4.4857183, Lon2 : 48.380703 , Lat2 : -4.487282 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227005550 , Gap_End_1 : 1456292190 , Gap_End_2 : 1456297197, GeoHash : gbsg1z, Lon1 : 48.3811 , Lat1 : -4.4857283, Lon2 : 48.380703 , Lat2 : -4.487282 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227003050 , Gap_End_1 : 1456297197 , Gap_End_2 : 1456297321, GeoHash : gbsg1z, Lon1 : 48.380703 , Lat1 : -4.487282, Lon2 : 48.38109 , Lat2 : -4.4857435 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456292257 , Gap_End_2 : 1456305713, GeoHash : gbsg1x, Lon1 : 48.382393 , Lat1 : -4.4966116, Lon2 : 48.382484 , Lat2 : -4.4966583 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456305713 , Gap_End_2 : 1456305717, GeoHash : gbsg1x, Lon1 : 48.382484 , Lat1 : -4.4966583, Lon2 : 48.382446 , Lat2 : -4.49665 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456238310 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.10008 , Lat1 : -4.3272133, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456249442 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.327225, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456259391 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.100094 , Lat1 : -4.327225, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456276851 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.100082 , Lat1 : -4.3272185, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456286480 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.10008 , Lat1 : -4.32723, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456292161 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.327205, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456297220 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.100098 , Lat1 : -4.3272133, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 227391000 , Gap_End_1 : 1456305711 , Gap_End_2 : 1456305735, GeoHash : gbscts, Lon1 : 48.100094 , Lat1 : -4.3272233, Lon2 : 48.09816 , Lat2 : -4.3250985 }
Suspicious RendezVous : { Vessel_1 : 227391000, Vessel_2 : 227941000 , Gap_End_1 : 1456305735 , Gap_End_2 : 1456328550, GeoHash : gbscts, Lon1 : 48.09816 , Lat1 : -4.3250985, Lon2 : 48.100086 , Lat2 : -4.32722 }
Suspicious RendezVous : { Vessel_1 : 227318020, Vessel_2 : 227391000 , Gap_End_1 : 1456259449 , Gap_End_2 : 1456328575, GeoHash : gbscte, Lon1 : 48.09806 , Lat1 : -4.3243117, Lon2 : 48.09814 , Lat2 : -4.32512 }
Suspicious RendezVous : { Vessel_1 : 227142200, Vessel_2 : 227318020 , Gap_End_1 : 1456328553 , Gap_End_2 : 1456345101, GeoHash : gbsctt, Lon1 : 48.106495 , Lat1 : -4.327268, Lon2 : 48.10668 , Lat2 : -4.321592 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227006750 , Gap_End_1 : 1456297321 , Gap_End_2 : 1456345104, GeoHash : gbsg1z, Lon1 : 48.38109 , Lat1 : -4.4857435, Lon2 : 48.381092 , Lat2 : -4.4844317 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227006750 , Gap_End_1 : 1456328555 , Gap_End_2 : 1456345104, GeoHash : gbsg1z, Lon1 : 48.381092 , Lat1 : -4.485735, Lon2 : 48.381092 , Lat2 : -4.4844317 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227006750 , Gap_End_1 : 1456345094 , Gap_End_2 : 1456345104, GeoHash : gbsg1z, Lon1 : 48.381157 , Lat1 : -4.48571, Lon2 : 48.381092 , Lat2 : -4.4844317 }
Suspicious RendezVous : { Vessel_1 : 227142200, Vessel_2 : 228293000 , Gap_End_1 : 1456345113 , Gap_End_2 : 1456345117, GeoHash : gbscv2, Lon1 : 48.12224 , Lat1 : -4.3328586, Lon2 : 48.120316 , Lat2 : -4.3372817 }
Suspicious RendezVous : { Vessel_1 : 227391000, Vessel_2 : 227318010 , Gap_End_1 : 1456328575 , Gap_End_2 : 1456345126, GeoHash : gbscte, Lon1 : 48.09814 , Lat1 : -4.32512, Lon2 : 48.097183 , Lat2 : -4.322748 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227003050 , Gap_End_1 : 1456345104 , Gap_End_2 : 1456370244, GeoHash : gbsg1z, Lon1 : 48.381092 , Lat1 : -4.4844317, Lon2 : 48.38114 , Lat2 : -4.485705 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227003050 , Gap_End_1 : 1456370243 , Gap_End_2 : 1456370244, GeoHash : gbsg1z, Lon1 : 48.38113 , Lat1 : -4.48449, Lon2 : 48.38114 , Lat2 : -4.485705 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456305717 , Gap_End_2 : 1456393299, GeoHash : gbsg1x, Lon1 : 48.382446 , Lat1 : -4.49665, Lon2 : 48.38365 , Lat2 : -4.4953218 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456345105 , Gap_End_2 : 1456393299, GeoHash : gbsg1x, Lon1 : 48.382412 , Lat1 : -4.496575, Lon2 : 48.38365 , Lat2 : -4.4953218 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456370235 , Gap_End_2 : 1456393299, GeoHash : gbsg1x, Lon1 : 48.3824 , Lat1 : -4.496645, Lon2 : 48.38365 , Lat2 : -4.4953218 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1456393299 , Gap_End_2 : 1456393301, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.4953218, Lon2 : 48.382427 , Lat2 : -4.496587 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227006750 , Gap_End_1 : 1456370244 , Gap_End_2 : 1456393304, GeoHash : gbsg1z, Lon1 : 48.38114 , Lat1 : -4.485705, Lon2 : 48.38112 , Lat2 : -4.4845033 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456393301 , Gap_End_2 : 1456393309, GeoHash : gbsg1x, Lon1 : 48.382427 , Lat1 : -4.496587, Lon2 : 48.382465 , Lat2 : -4.496657 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 226179000 , Gap_End_1 : 1456328550 , Gap_End_2 : 1456393414, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.32722, Lon2 : 48.098152 , Lat2 : -4.32533 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 226179000 , Gap_End_1 : 1456345121 , Gap_End_2 : 1456393414, GeoHash : gbscts, Lon1 : 48.100086 , Lat1 : -4.3272266, Lon2 : 48.098152 , Lat2 : -4.32533 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 226179000 , Gap_End_1 : 1456370251 , Gap_End_2 : 1456393414, GeoHash : gbscts, Lon1 : 48.10009 , Lat1 : -4.32722, Lon2 : 48.098152 , Lat2 : -4.32533 }
Suspicious RendezVous : { Vessel_1 : 227941000, Vessel_2 : 226179000 , Gap_End_1 : 1456393300 , Gap_End_2 : 1456393414, GeoHash : gbscts, Lon1 : 48.10009 , Lat1 : -4.32722, Lon2 : 48.098152 , Lat2 : -4.32533 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456297189 , Gap_End_2 : 1456413860, GeoHash : gbsf9r, Lon1 : 48.295635 , Lat1 : -4.5115933, Lon2 : 48.295753 , Lat2 : -4.50912 }
Suspicious RendezVous : { Vessel_1 : 226179000, Vessel_2 : 227941000 , Gap_End_1 : 1456393414 , Gap_End_2 : 1456413871, GeoHash : gbscts, Lon1 : 48.098152 , Lat1 : -4.32533, Lon2 : 48.100094 , Lat2 : -4.3272233 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456328549 , Gap_End_2 : 1456413882, GeoHash : gbsfc2, Lon1 : 48.296585 , Lat1 : -4.5123634, Lon2 : 48.29642 , Lat2 : -4.512555 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227005550 , Gap_End_1 : 1456393304 , Gap_End_2 : 1456437098, GeoHash : gbsg1z, Lon1 : 48.38112 , Lat1 : -4.4845033, Lon2 : 48.380726 , Lat2 : -4.48729 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227005550 , Gap_End_1 : 1456413864 , Gap_End_2 : 1456437098, GeoHash : gbsg1z, Lon1 : 48.381134 , Lat1 : -4.4844885, Lon2 : 48.380726 , Lat2 : -4.48729 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227005550 , Gap_End_1 : 1456437082 , Gap_End_2 : 1456437098, GeoHash : gbsg1z, Lon1 : 48.38114 , Lat1 : -4.484522, Lon2 : 48.380726 , Lat2 : -4.48729 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228293000 , Gap_End_1 : 1456345126 , Gap_End_2 : 1456437102, GeoHash : gbscte, Lon1 : 48.097183 , Lat1 : -4.322748, Lon2 : 48.098015 , Lat2 : -4.3240485 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228293000 , Gap_End_1 : 1456437087 , Gap_End_2 : 1456437102, GeoHash : gbscte, Lon1 : 48.0972 , Lat1 : -4.322765, Lon2 : 48.098015 , Lat2 : -4.3240485 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1456393309 , Gap_End_2 : 1456437105, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.496657, Lon2 : 48.3824 , Lat2 : -4.496577 }
Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 227318020 , Gap_End_1 : 1456437102 , Gap_End_2 : 1456437107, GeoHash : gbscte, Lon1 : 48.098015 , Lat1 : -4.3240485, Lon2 : 48.09811 , Lat2 : -4.324885 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1456437105 , Gap_End_2 : 1456437138, GeoHash : gbsg1x, Lon1 : 48.3824 , Lat1 : -4.496577, Lon2 : 48.382477 , Lat2 : -4.4966984 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1456437138 , Gap_End_2 : 1456474091, GeoHash : gbsg1x, Lon1 : 48.382477 , Lat1 : -4.4966984, Lon2 : 48.37955 , Lat2 : -4.497023 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1456474091 , Gap_End_2 : 1456474096, GeoHash : gbsg1x, Lon1 : 48.37955 , Lat1 : -4.497023, Lon2 : 48.382492 , Lat2 : -4.4966865 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227006750 , Gap_End_1 : 1456437098 , Gap_End_2 : 1456474123, GeoHash : gbsg1z, Lon1 : 48.380726 , Lat1 : -4.48729, Lon2 : 48.381107 , Lat2 : -4.4845915 }
Suspicious RendezVous : { Vessel_1 : 227006750, Vessel_2 : 227005550 , Gap_End_1 : 1456474123 , Gap_End_2 : 1456474865, GeoHash : gbsg1z, Lon1 : 48.381107 , Lat1 : -4.4845915, Lon2 : 48.38074 , Lat2 : -4.4872985 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456474096 , Gap_End_2 : 1456495670, GeoHash : gbsg1x, Lon1 : 48.382492 , Lat1 : -4.4966865, Lon2 : 48.379524 , Lat2 : -4.49701 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1456495662 , Gap_End_2 : 1456495670, GeoHash : gbsg1x, Lon1 : 48.38238 , Lat1 : -4.4966035, Lon2 : 48.379524 , Lat2 : -4.49701 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227006750 , Gap_End_1 : 1456474865 , Gap_End_2 : 1456495702, GeoHash : gbsg1z, Lon1 : 48.38074 , Lat1 : -4.4872985, Lon2 : 48.38114 , Lat2 : -4.484472 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227705102 , Gap_End_1 : 1456495670 , Gap_End_2 : 1456495742, GeoHash : gbsg1x, Lon1 : 48.379524 , Lat1 : -4.49701, Lon2 : 48.382484 , Lat2 : -4.4966865 }
